State Abbreviation,Larceny-theft,Property crime,State,City,Burglary,Population 2000,Aggravated assault,Murder and non-negligent manslaughter,Arson,Forcible rape,Violent crime,Motor vehicle theft,County,latitude,longitude
TX,0.0,2.0,TX,Martindale,1.0,953.0,0.0,0.0,0,0.0,0.0,1.0,Caldwell County,29.8455009460449,-97.8408432006836
TX,89.0,102.0,TX,Spring Valley,9.0,3611.0,1.0,0.0,0,0.0,1.0,4.0,Harris County,29.7896671295166,-95.503547668457
TX,171.0,282.0,TX,Jersey Village,71.0,6880.0,13.0,0.0,0,0.0,24.0,40.0,Harris County,29.8877258300781,-95.5630035400391
TX,113.0,134.0,TX,Kyle,21.0,5314.0,4.0,0.0,1,0.0,4.0,0.0,Hays County,29.9891052246094,-97.8772201538086
TX,47.0,63.0,TX,Ingram,16.0,1740.0,1.0,0.0,0,0.0,2.0,0.0,Kerr County,30.077428817749,-99.2403182983398
TX,330.0,500.0,TX,Groves,135.0,15733.0,17.0,1.0,0,0.0,38.0,35.0,Jefferson County,29.9482727050781,-93.917106628418
TX,80.0,121.0,TX,Waller,32.0,2092.0,11.0,1.0,2,0.0,20.0,9.0,Waller County,30.0566101074219,-95.9268951416016
TX,148.0,221.0,TX,Liberty,49.0,8033.0,3.0,0.0,1,0.0,5.0,24.0,Liberty County,30.0579948425293,-94.7954788208008
TX,149.0,213.0,TX,Bridge City,43.0,8651.0,16.0,0.0,2,0.0,16.0,21.0,Orange County,30.0207710266113,-93.8457260131836
TX,142.0,145.0,TX,Sunset Valley,2.0,365.0,0.0,0.0,0,0.0,1.0,1.0,Travis County,30.2257690429688,-97.8036117553711
TX,96.0,126.0,TX,Oak Ridge North,17.0,2991.0,4.0,0.0,3,0.0,5.0,13.0,Montgomery County,30.1602153778076,-95.4443817138672
TX,190.0,210.0,TX,Fredericksburg,18.0,8911.0,9.0,0.0,0,0.0,9.0,2.0,Gillespie County,30.2751998901367,-98.8719940185547
TX,71.0,101.0,TX,Pinehurst,22.0,-99999.0,18.0,0.0,0,0.0,21.0,8.0,Montgomery County,30.1890678405762,-95.7053451538086
TX,231.0,245.0,TX,Shenandoah,8.0,1503.0,0.0,0.0,,0.0,4.0,6.0,Montgomery County,30.1802158355713,-95.4557723999023
TX,35.0,41.0,TX,Johnson City,5.0,1191.0,1.0,0.0,0,0.0,1.0,1.0,Blanco County,30.2768707275391,-98.4119644165039
TX,8.0,18.0,TX,Roman Forest,6.0,1279.0,3.0,0.0,0,0.0,3.0,4.0,Montgomery County,30.179105758667,-95.1624298095703
TX,17.0,31.0,TX,Rollingwood,10.0,1403.0,0.0,0.0,0,0.0,0.0,4.0,Travis County,30.2768783569336,-97.7911148071289
TX,71.0,101.0,TX,Pinehurst,22.0,2274.0,18.0,0.0,0,0.0,21.0,8.0,Orange County,30.1071491241455,-93.7746047973633
TX,53.0,75.0,TX,West Lake Hills,19.0,3116.0,4.0,0.0,0,0.0,4.0,3.0,Travis County,30.2979850769043,-97.8019485473633
TX,115.0,143.0,TX,Manor,18.0,1204.0,12.0,0.0,0,0.0,14.0,10.0,Travis County,30.3407688140869,-97.5569534301758
TX,21.0,39.0,TX,Somerville,13.0,1704.0,3.0,0.0,0,0.0,5.0,5.0,Burleson County,30.346040725708,-96.5283050537109
TX,544.0,730.0,TX,The Colony,143.0,26531.0,21.0,0.0,11,0.0,33.0,43.0,Denton County,33.0937004089355,-96.8894653320312
